open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,EMA12,EMA26,MACD,Signal,Hist,return,rho1,ADX,volatility,delta_volatility,delta_volume,vol_vol_ratio,TrendScore,rho1_norm,ADX_norm,vol_vol_ratio_norm,target
2025-10-22 20:45:00,3800.87,3800.88,3770.68,3780.84,3429.4045,2025-10-22 20:59:59.999,12984487.543394,38930,1091.4267,4130377.358645,0,3780.84,3780.84,0.0,0.0,0.0,,,0.0,,,,,,,-1.7535436560109283,,-1.0
2025-10-22 21:00:00,3780.84,3782.1,3710.0,3743.35,22874.0956,2025-10-22 21:14:59.999,85586196.827828,139876,9461.1747,35390926.958312,0,3775.072307692308,3778.062962962963,-2.9906552706552247,-0.598131054131045,-2.39252421652418,-0.009915785910009522,,0.0,,,19444.6911,,,,-1.7535436560109283,,-1.0
2025-10-22 21:15:00,3743.36,3752.95,3721.9,3724.1,7121.1136,2025-10-22 21:29:59.999,26623755.856038,100734,3180.3022,11893920.51844,0,3767.230414201183,3774.065706447188,-6.835292246004428,-1.8455632925057217,-4.989728953498707,-0.005142452615972348,,0.0,,,-15752.982,,,,-1.7535436560109283,,1.0
2025-10-22 21:30:00,3724.24,3749.01,3720.07,3742.5,3409.6072,2025-10-22 21:44:59.999,12742088.143615,59843,1947.9176,7280872.915452,0,3763.425735093309,3771.7275059696185,-8.301770876309547,-3.136804809266487,-5.164966067043061,0.004940791063612782,,0.0,,,-3711.5063999999998,,,,-1.7535436560109283,,1.0
2025-10-22 21:45:00,3742.5,3756.97,3738.54,3744.69,3836.263,2025-10-22 21:59:59.999,14379321.631025,52613,2328.1543,8726276.622866,0,3760.543314309723,3769.7247277496463,-9.181413439923745,-4.345726535397938,-4.835686904525806,0.0005851703406813957,,0.0,,,426.6558,,,,-1.7535436560109283,,1.0
2025-10-22 22:00:00,3744.68,3762.53,3741.6,3758.51,3714.1952,2025-10-22 22:14:59.999,13944964.49277,61533,2134.1583,8012361.511302,0,3760.230496723612,3768.8940071755983,-8.663510451986895,-5.20928331871573,-3.4542271332711643,0.0036905591651110736,,0.0,,,-122.0677999999998,,,,-1.7535436560109283,,-1.0
2025-10-22 22:15:00,3758.52,3759.7,3734.47,3737.82,2866.7861,2025-10-22 22:29:59.999,10739973.838913,57818,1003.8464,3761343.260407,0,3756.7827279969024,3766.592228866295,-9.80950086939265,-6.129326828851115,-3.680174040541535,-0.005504841014125295,,0.0,,,-847.4091000000003,,,,-1.7535436560109283,,1.0
2025-10-22 22:30:00,3737.82,3755.18,3736.99,3752.54,2796.2934,2025-10-22 22:44:59.999,10471470.827139,47390,1384.7821,5186187.719682,0,3756.130000612763,3765.5513230243473,-9.421322411583787,-6.78772594539765,-2.6335964661861375,0.003938124361258621,,0.0,,,-70.49269999999979,,,,-1.7535436560109283,,-1.0
2025-10-22 22:45:00,3752.54,3756.66,3741.44,3752.36,3841.9859,2025-10-22 22:59:59.999,14411792.590186,39161,2030.6375,7616979.12615,0,3755.550000518492,3764.574187985507,-9.0241874670146,-7.23501824972104,-1.7891692172935585,-4.79675100064636e-05,,0.0,,,1045.6925,,,,-1.7535436560109283,,1.0
2025-10-22 23:00:00,3752.35,3775.45,3750.77,3773.15,4093.2342,2025-10-22 23:14:59.999,15423772.656612,45957,2491.7451,9389004.18426,0,3758.257692746417,3765.209433319914,-6.951740573497318,-7.178362714476297,0.2266221409789786,0.00554051317037807,,0.0,,,251.24829999999974,,,,-1.7535436560109283,,1.0
2025-10-22 23:15:00,3773.15,3810.5,3772.51,3795.61,6794.6981,2025-10-22 23:29:59.999,25774428.65025,50723,4348.7669,16493784.913971,0,3764.00420155466,3767.461327148069,-3.457125593408364,-6.43411529026271,2.9769896968543463,0.005952586035540497,,0.0,,,2701.4638999999997,,,,-1.7535436560109283,,1.0
2025-10-22 23:30:00,3795.61,3816.5,3795.61,3795.9,5270.531,2025-10-22 23:44:59.999,20068404.52244,38429,2240.8628,8531111.167073,0,3768.911247469328,3769.567895507471,-0.6566480381429756,-5.278621839838763,4.621973801695788,7.640405626507807e-05,,0.0,,,-1524.1670999999997,,,,-1.7535436560109283,,1.0
2025-10-22 23:45:00,3795.9,3811.76,3795.9,3805.53,2857.7642,2025-10-22 23:59:59.999,10867405.279444,36274,1149.8568,4372853.399422,0,3774.544901704816,3772.23175509951,2.313146605305974,-3.760268150809816,6.07341475611579,0.0025369477594245904,,0.0,,,-2412.7668,,,,-1.7535436560109283,,1.0
2025-10-23 00:00:00,3805.53,3811.8,3796.54,3811.63,3189.3633,2025-10-23 00:14:59.999,12137415.153408,38915,1348.1964,5130011.326653,0,3780.250301442537,3775.150143610658,5.100157831879187,-1.9881829542720155,7.088340786151202,0.00160293047223381,,0.0,,,331.5990999999999,,,,-1.7535436560109283,,-1.0
2025-10-23 00:15:00,3811.63,3819.47,3802.87,3807.21,2475.4447,2025-10-23 00:29:59.999,9434843.515214,37666,1269.318,4839680.910557,0,3784.397947374454,3777.5249477876455,6.872999586808419,-0.2159464460559286,7.088946032864348,-0.001159608881239782,,0.0,,,-713.9186,,,,-1.7535436560109283,,1.0
2025-10-23 00:30:00,3807.2,3816.74,3804.9,3807.68,2797.946,2025-10-23 00:44:59.999,10659150.648584,39577,982.1488,3742924.405305,0,3787.979801624538,3779.758655358931,8.22114626560733,1.4714720962767232,6.749674169330608,0.00012344998043190003,,0.0,,,322.5012999999999,,,,-1.7535436560109283,,1.0
2025-10-23 00:45:00,3807.68,3821.56,3805.25,3815.27,2434.7108,2025-10-23 00:59:59.999,9289480.263116,29258,1350.0378,5150959.999623,0,3792.1782936823015,3782.389125332343,9.789168349958343,3.1350113470130476,6.654157002945297,0.0019933397764517746,,0.0,,,-363.2352000000001,,,,-1.7535436560109283,,1.0
2025-10-23 01:00:00,3815.27,3835.93,3812.78,3827.92,3098.5018,2025-10-23 01:14:59.999,11850450.509598,57516,2005.7347,7670892.488269,0,3797.6770177311782,3785.761782715133,11.9152350160457,4.891056080819578,7.024178935226121,0.0033156237959568458,,0.0,,,663.7910000000002,,,,-1.7535436560109283,,-1.0
2025-10-23 01:15:00,3827.93,3833.83,3812.08,3819.99,3863.8608,2025-10-23 01:29:59.999,14771101.142222,45729,1425.3278,5448219.669083,0,3801.1097842340737,3788.297206217715,12.812578016358202,6.475360467927303,6.337217548430899,-0.002071621141507718,,0.0,,,765.3589999999999,,,,-1.7535436560109283,,1.0
2025-10-23 01:30:00,3819.99,3826.93,3818.25,3824.82,2390.2199,2025-10-23 01:44:59.999,9135119.64499,31435,1209.1839,4621674.943273,0,3804.757509736524,3791.0025983497367,13.754911386787173,7.931270651699277,5.823640735087894,0.0012644012157101425,,0.0,,,-1473.6408999999999,,,,-1.7535436560109283,,-1.0
2025-10-23 01:45:00,3824.81,3828.16,3820.29,3821.05,1659.9938,2025-10-23 01:59:59.999,6347012.271186,22566,649.5027,2483403.36154,0,3807.264046700136,3793.228331805312,14.03571489482374,9.15215950032417,4.88355539449957,-0.0009856672993762139,0.030755626772088835,0.0,0.003983695706689329,,-730.2261000000001,,0.006151125354417767,1.1413717006695006,-1.7535436560109283,,1.0
2025-10-23 02:00:00,3821.05,3821.9,3815.18,3821.16,962.1285,2025-10-23 02:14:59.999,3673552.311719,24231,380.4202,1452509.417388,0,3809.4018856693456,3795.297344264178,14.104541405167764,10.14263588129289,3.961905523874876,2.878789861426867e-05,-0.3562725036498854,0.0,0.0031421303604830023,-0.0008415653462063269,-697.8652999999999,1.2059137289192154e-06,-0.07125425954723129,-0.7341987487965971,-1.7535436560109283,1.5064477827235072,1.0
2025-10-23 02:15:00,3821.15,3828.55,3821.13,3826.49,1044.8356,2025-10-23 02:29:59.999,3997453.248075,21486,619.9731,2372112.451099,0,3812.0308263356,3797.60791135572,14.422914979879806,10.998691701010271,3.4242232788695333,0.0013948643867307542,-0.2550529261462203,0.0,0.002785613084567825,-0.0003565172759151772,82.70710000000008,-4.310600612464671e-06,-0.05101144734936656,-0.2436802733918987,-1.7535436560109283,-5.200005429095173,1.0
2025-10-23 02:30:00,3826.48,3834.51,3826.48,3830.74,1620.3715,2025-10-23 02:44:59.999,6206565.481498,26370,898.9655,3443849.406913,0,3814.909160745507,3800.0621401441854,14.847020601322129,11.768357481072645,3.078663120249484,0.0011106784546672799,-0.25150578158741627,0.0,0.0026551383864507907,-0.00013047469811703445,575.5358999999999,-2.267012329153307e-07,-0.05030120165772984,-0.2264905163909703,-1.7535436560109283,-0.2351891672648363,-1.0
2025-10-23 02:45:00,3830.75,3830.99,3819.51,3825.65,2782.6899,2025-10-23 02:59:59.999,10641202.380759,23442,809.7972,3095731.083862,0,3816.561597553891,3801.957537170542,14.604060383348951,12.335498061527906,2.2685623218210456,-0.0013287249983031657,-0.2397076675927126,0.0,0.0027111946798706182,5.605629341982757e-05,1162.3183999999999,4.8228001397747445e-08,-0.047941523872942246,-0.1693158765430285,-1.7535436560109283,0.0990436348961117,-1.0
2025-10-23 03:00:00,3825.65,3830.19,3824.0,3824.43,1923.0486,2025-10-23 03:14:59.999,7358844.742683,24658,885.3288,3387614.906425,0,3817.7721210071386,3803.622164046798,14.14995696034066,12.698389841290458,1.4515671190502015,-0.00031890005619961137,-0.10286950924614405,0.0,0.002655156442438872,-5.603823743174615e-05,-859.6412999999998,6.518793063077142e-08,-0.020573888811642686,0.4938131985305669,-1.7535436560109283,0.1196619030339768,1.0
2025-10-23 03:15:00,3824.43,3834.6,3824.43,3833.08,1273.226,2025-10-23 03:29:59.999,4876353.711614,22105,858.771,3288919.087652,0,3820.127179313733,3805.8042259692575,14.32295334447508,13.023302541927384,1.2996508025476974,0.0022617749573139445,0.06164102938783178,0.0,0.0022026545837149853,-0.0004525018587238868,-649.8226,6.963467548279897e-07,0.012328345146917321,1.2910449257211063,-1.7535436560109283,0.8869647435162652,-1.0
2025-10-23 03:30:00,3833.08,3834.74,3825.41,3825.76,1410.1122,2025-10-23 03:44:59.999,5401252.262185,21493,650.6841,2492861.219034,0,3820.99376711162,3807.282431453016,13.71133565860373,13.160909165262654,0.5504264933410763,-0.0019096914230852802,0.05937964475988643,0.0,0.002216720431427524,1.4065847712538791e-05,136.88619999999992,1.0275577605732937e-07,0.011875949503132498,1.2800860680834798,-1.7535436560109283,0.1653333147317561,1.0
2025-10-23 03:45:00,3825.76,3829.55,3822.58,3826.79,1303.9689,2025-10-23 03:59:59.999,4988817.025979,16813,441.9893,1691006.815243,0,3821.885495248294,3808.7274365305702,13.15805871772318,13.16033907575476,-0.0022803580315802,0.00026922755217251293,0.1519107128630869,0.0,0.0022101865133376613,-6.533918089862787e-06,-106.14329999999995,6.15575179013917e-08,0.030382154884120965,1.7284993056501623,-1.7535436560109283,0.1152483926898583,-1.0
