open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,amount,VWEMA12,VWEMA26,MACD,VW_Signal,VW_Hist
2025-09-30 12:00:00,2.516,2.52,2.477,2.481,992984.1,2025-09-30 15:59:59.999,2479615.67761,11264,318438.39,795074.13882,0.0,2463593.5521,2.5552475296566066,2.5960728315326667,-0.04082530187606004,-0.028776579869962307,-0.012048722006097731
2025-09-30 16:00:00,2.481,2.518,2.475,2.514,414063.03,2025-09-30 19:59:59.999,1031536.58474,6648,225724.84,562420.66812,0.0,1040954.45742,2.5512829584093506,2.592656583392898,-0.04137362498354724,-0.031295988892679295,-0.010077636090867946
2025-09-30 20:00:00,2.514,2.526,2.49,2.507,241302.59,2025-09-30 23:59:59.999,605385.92632,6015,105097.71,263724.57255,0.0,604945.59313,2.548533524618071,2.590469834934815,-0.04193631031674405,-0.033424053177492245,-0.008512257139251807
2025-10-01 00:00:00,2.507,2.532,2.496,2.504,329381.95,2025-10-01 03:59:59.999,828241.01892,4731,176353.68,443763.98554,0.0,824772.4028,2.5444791276910927,2.587333522015242,-0.04285439432414906,-0.03531012140682361,-0.007544272917325449
2025-10-01 04:00:00,2.504,2.523,2.5,2.513,185319.75,2025-10-01 07:59:59.999,465986.5221,3579,92336.15,232241.98259,0.0,465708.53174999997,2.5426822887257474,2.5857305812264175,-0.043048292500670104,-0.03685775562559291,-0.006190536875077195
2025-10-01 08:00:00,2.512,2.612,2.507,2.576,1009455.9,2025-10-01 11:59:59.999,2597040.71471,13771,600346.05,1544202.06741,0.0,2600358.3984000003,2.551635220353652,2.5846351344672014,-0.03299991411354952,-0.036086187323184235,0.003086273209634713
2025-10-01 12:00:00,2.577,2.585,2.56,2.57,395419.27,2025-10-01 15:59:59.999,1017755.57868,6150,177095.24,455959.79699,0.0,1016227.5239,2.5536670025406494,2.5839698045426958,-0.03030280200204638,-0.034929510258956666,0.004626708256910285
2025-10-01 16:00:00,2.571,2.6,2.564,2.585,557616.2,2025-10-01 19:59:59.999,1439737.28308,7279,281254.67,726516.81128,0.0,1441437.8769999999,2.558544865740219,2.5840365139495667,-0.025491648209347684,-0.03304193784903487,0.007550289639687187
2025-10-01 20:00:00,2.584,2.596,2.558,2.586,515343.26,2025-10-01 23:59:59.999,1326819.53698,7586,247659.44,637896.6401,0.0,1332677.6703599999,2.562534784908148,2.5841557150963355,-0.021620930188187337,-0.030757736316865365,0.009136806128678027
2025-10-02 00:00:00,2.586,2.64,2.583,2.619,892834.27,2025-10-02 03:59:59.999,2332365.71756,10341,575289.54,1502310.86717,0.0,2338332.9531300003,2.5754833328740316,2.587710029001722,-0.012226696127690229,-0.02705152827903034,0.01482483215134011
2025-10-02 04:00:00,2.62,2.637,2.606,2.623,512844.55,2025-10-02 07:59:59.999,1345407.94034,6991,242832.14,637418.46415,0.0,1345191.25465,2.581883888526389,2.5898102584499227,-0.007926369923533905,-0.023226496607931052,0.015300126684397147
2025-10-02 08:00:00,2.622,2.674,2.622,2.662,807348.64,2025-10-02 11:59:59.999,2139516.969,12702,462044.16,1224422.33867,0.0,2149162.07968,2.5979383537118927,2.5964435626592444,0.001494791052648381,-0.018282239075815165,0.019777030128463546
2025-10-02 12:00:00,2.662,2.682,2.614,2.666,1031097.8,2025-10-02 15:59:59.999,2735168.94367,17033,542761.6,1441666.72869,0.0,2748906.7348,2.6137437008587043,2.604267586771961,0.009476114086743426,-0.012730568443303447,0.022206682530046873
2025-10-02 16:00:00,2.666,2.978,2.665,2.978,4205953.98,2025-10-02 19:59:59.999,11903207.86131,102652,2388023.2,6768444.21705,0.0,12525330.952440003,2.8061389562533683,2.7281025132987438,0.07803644295462453,0.005422833836282149,0.07261360911834239
2025-10-02 20:00:00,2.978,3.239,2.976,3.095,9222287.92,2025-10-02 23:59:59.999,28586191.45804,149300,4941758.57,15312321.14769,0.0,28542981.112400003,2.973051435315504,2.889415778315437,0.08363565700006692,0.021065398469039105,0.06257025853102782
2025-10-03 00:00:00,3.095,3.4,2.97,3.356,8535271.83,2025-10-03 03:59:59.999,27016699.55384,134037,4804565.67,15245583.07092,0.0,28644372.26148,3.1213526760311594,3.0318635481392295,0.08948912789192986,0.03475014435361726,0.05473898353831261
2025-10-03 04:00:00,3.357,3.583,3.243,3.272,12158599.83,2025-10-03 07:59:59.999,41221467.12686,229646,6161111.78,20927061.69509,0.0,39782938.643759996,3.1808069396039382,3.1086079242094393,0.07219901539449891,0.04223991856179359,0.02995909683270532
2025-10-03 08:00:00,3.273,3.455,3.209,3.32,6814542.16,2025-10-03 11:59:59.999,22639559.0708,122440,3202293.3,10645264.95897,0.0,22624279.9712,3.209652967859567,3.1428728951351905,0.06678007272437636,0.04714794939431015,0.019632123330066212
2025-10-03 12:00:00,3.32,3.698,3.316,3.633,13918426.46,2025-10-03 15:59:59.999,49104565.06493,208374,7203616.06,25404137.23884,0.0,50565643.32918,3.3508125273387703,3.2719624820286763,0.07885004531009399,0.053488368577466916,0.02536167673262707
2025-10-03 16:00:00,3.633,3.661,3.48,3.615,6800899.17,2025-10-03 19:59:59.999,24290107.7565,108016,3445690.24,12314781.54107,0.0,24585250.49955,3.3934681934292046,3.3138229702225024,0.0796452232067022,0.058719739503313974,0.020925483703388224
2025-10-03 20:00:00,3.613,3.745,3.565,3.629,4622009.01,2025-10-03 23:59:59.999,16824384.12586,72535,2513909.06,9154458.71521,0.0,16773270.69729,3.4205060954161337,3.3397320064331986,0.08077408898293514,0.06313060939923822,0.017643479583696928
2025-10-04 00:00:00,3.628,3.718,3.574,3.601,4829523.15,2025-10-04 03:59:59.999,17603620.98234,88676,2394668.52,8737059.70815,0.0,17391112.86315,3.4429157951214857,3.361911545860964,0.08100424926052163,0.06670533737149491,0.014298911889026725
2025-10-04 04:00:00,3.601,3.645,3.491,3.524,3794195.51,2025-10-04 07:59:59.999,13539370.83964,63437,1817836.71,6489824.53832,0.0,13370744.97724,3.4512967489684283,3.3728021304895774,0.07849461847885086,0.0690631935929661,0.009431424885884762
2025-10-04 08:00:00,3.524,3.526,3.387,3.4,2436657.02,2025-10-04 11:59:59.999,8405430.97069,32473,1169253.9,4034363.89622,0.0,8284633.868,3.4475653375667195,3.3740131501759927,0.07355218739072678,0.06996099235251824,0.003591195038208539
2025-10-04 12:00:00,3.402,3.458,3.329,3.37,2682017.42,2025-10-04 15:59:59.999,9097391.35562,44939,1271030.74,4315961.1905,0.0,9038398.7054,3.4408602587826262,3.3738114097626553,0.06704884901997099,0.0693785636860088,-0.002329714666037805
2025-10-04 16:00:00,3.371,3.526,3.357,3.454,2686725.78,2025-10-04 19:59:59.999,9264297.89285,47116,1472695.94,5078334.40313,0.0,9279950.84412,3.4420801456663113,3.3779476489280524,0.06413249673825883,0.06832935029645881,-0.004196853558199987
2025-10-04 20:00:00,3.454,3.472,3.414,3.422,731010.06,2025-10-04 23:59:59.999,2516226.59815,15202,369611.63,1272800.50455,0.0,2501516.4253200004,3.441498075714204,3.3786053865069103,0.06289268920729363,0.06724201807862577,-0.004349328871332145
2025-10-05 00:00:00,3.423,3.562,3.42,3.523,2066613.67,2025-10-05 03:59:59.999,7220551.69955,33953,1075886.75,3759630.12633,0.0,7280679.95941,3.448694486904929,3.384900940933141,0.06379354597178777,0.06655232365725818,-0.0027587776854704066
2025-10-05 04:00:00,3.524,3.626,3.46,3.488,2210550.19,2025-10-05 07:59:59.999,7833964.70844,34133,1143882.7,4058475.38531,0.0,7710399.06272,3.4526412148603427,3.3898447464423027,0.06279646841803999,0.06580115260941453,-0.0030046841913745487
2025-10-05 08:00:00,3.489,3.493,3.338,3.376,1909999.89,2025-10-05 11:59:59.999,6487985.92175,30263,967535.97,3286869.09219,0.0,6448159.62864,3.445513705578335,3.389251770205549,0.05626193537278601,0.06389330916208884,-0.007631373789302828
2025-10-05 12:00:00,3.377,3.379,3.258,3.269,1499033.99,2025-10-05 15:59:59.999,4965606.87153,27298,743859.4,2464724.03133,0.0,4900342.11331,3.4314968926486666,3.385039090007823,0.04645780264084376,0.06040620785783982,-0.013948405216996064
2025-10-05 16:00:00,3.269,3.31,3.176,3.183,1906064.84,2025-10-05 19:59:59.999,6182404.74538,29637,767393.07,2496200.89069,0.0,6067004.38572,3.4050051378106527,3.375765533086913,0.029239604723739543,0.05417288723101977,-0.024933282507280226
2025-10-05 20:00:00,3.182,3.246,3.17,3.233,1413506.94,2025-10-05 23:59:59.999,4521252.9292,19847,824947.02,2640564.90985,0.0,4569867.93702,3.3903074196823653,3.370703331720939,0.01960408796142632,0.047259127377101084,-0.027655039415674765
2025-10-06 00:00:00,3.232,3.478,3.185,3.47,5305073.9,2025-10-06 03:59:59.999,17764319.39136,74643,2957067.35,9916728.08815,0.0,18408606.433000002,3.412210368194487,3.3831813677024347,0.02902900049205215,0.0436131020000913,-0.014584101508039155
2025-10-06 04:00:00,3.471,3.8,3.402,3.571,12108572.83,2025-10-06 07:59:59.999,43727206.84256,205460,6422870.06,23194374.86325,0.0,43239713.57593,3.4798135546828353,3.4276016244299994,0.05221193025283588,0.04533286765064022,0.00687906260219566
2025-10-06 08:00:00,3.572,3.685,3.546,3.668,5755943.0,2025-10-06 11:59:59.999,20850549.75423,93850,3132918.44,11355027.29309,0.0,21112798.924000002,3.5161359308069997,3.4536303535635353,0.0625055772434644,0.048767409569205056,0.013738167674259338
2025-10-06 12:00:00,3.668,3.933,3.651,3.799,11600372.34,2025-10-06 15:59:59.999,44167093.62414,178590,6069614.19,23125980.71241,0.0,44069814.519659996,3.6052201305631137,3.5194996459112757,0.08572048465183801,0.05615802458573165,0.029562460066106362
2025-10-06 16:00:00,3.798,3.862,3.704,3.834,3877547.49,2025-10-06 19:59:59.999,14731466.51158,63101,1933219.33,7347295.51355,0.0,14866517.076660002,3.630533589103152,3.5397583617823343,0.09077522732081755,0.06308146513274883,0.027693762188068724
2025-10-06 20:00:00,3.834,3.836,3.72,3.774,2070713.93,2025-10-06 23:59:59.999,7791053.46271,32855,969395.65,3647024.61409,0.0,7814874.37182,3.639898042697068,3.5481490844186707,0.09174895827839746,0.06881496376187857,0.022933994516518896
2025-10-07 00:00:00,3.773,3.863,3.68,3.682,2795480.42,2025-10-07 03:59:59.999,10536845.16512,46907,1351602.26,5100521.30464,0.0,10292958.90644,3.6438690182391156,3.5547927423568453,0.0890762758822703,0.07286722618595691,0.016209049696313385
2025-10-07 04:00:00,3.683,4.069,3.667,3.923,8767207.16,2025-10-07 07:59:59.999,34371271.91572,180779,4555717.99,17857978.33149,0.0,34393753.68868,3.716172435612101,3.6077859339242697,0.10838650168783115,0.07997108128633176,0.028415420401499386
2025-10-07 08:00:00,3.922,4.204,3.861,4.185,10025476.51,2025-10-07 11:59:59.999,40737739.07844,208296,5400831.44,21953222.22094,0.0,41956619.19435,3.8377363195868472,3.6948985795365568,0.14283774005029048,0.09254441303912352,0.05029332701116697
2025-10-07 12:00:00,4.184,4.37,4.024,4.169,19395358.07,2025-10-07 15:59:59.999,81386265.10217,381041,9389827.0,39434349.86638,0.0,80859247.79382999,3.96102906424642,3.8085561664470426,0.15247289779937745,0.1045301099911743,0.047942787808203144
2025-10-07 16:00:00,4.169,4.276,4.035,4.243,6914482.83,2025-10-07 19:59:59.999,28747279.48566,168502,3504410.21,14590602.751,0.0,29338150.647690002,3.9992514892205313,3.8452677902239847,0.15398369899654663,0.11442082779224877,0.039562871204297856
2025-10-07 20:00:00,4.244,4.575,4.216,4.368,11601189.47,2025-10-07 23:59:59.999,51380705.91433,213552,6289130.57,27882293.21972,0.0,50673995.60496001,4.077369129836809,3.914680767721352,0.1626883621154569,0.1240743346568904,0.0386140274585665
2025-10-08 00:00:00,4.369,4.435,4.146,4.163,8197179.42,2025-10-08 03:59:59.999,35004658.34645,143449,3790827.77,16203952.37953,0.0,34124857.92546,4.0902404082596915,3.937528291843952,0.15271211641573945,0.12980189100866021,0.022910225407079238
2025-10-08 04:00:00,4.163,4.514,4.127,4.493,7237628.4,2025-10-08 07:59:59.999,31300849.96732,125882,3784697.28,16381013.54765,0.0,32518664.401200004,4.1448468810853605,3.982332860084892,0.1625140210004683,0.13634431700702185,0.026169703993446453
2025-10-08 08:00:00,4.492,4.603,4.311,4.388,8185491.78,2025-10-08 11:59:59.999,36365785.78665,162931,4198805.45,18670082.16797,0.0,35917937.93064,4.1821502270435,4.018715459934762,0.16343476710873794,0.1417624070273651,0.021672360081372855
2025-10-08 12:00:00,4.389,4.405,4.17,4.203,6330031.12,2025-10-08 15:59:59.999,27012653.69602,105747,2911422.84,12428146.26888,0.0,26605120.797360003,4.1847140975037656,4.031557312777596,0.15315678472616945,0.14404128256712598,0.00911550215904347
