open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,EMA12,EMA26,MACD,Signal,Hist
2024-10-19 20:00:00,2641.34,2649.07,2640.89,2645.0,2103.71,2024-10-19 20:59:59.999,5566223.585822,26366,1131.8726,2994908.148264,0.0,2645.0,2645.0,0.0,0.0,0.0
2024-10-19 21:00:00,2645.0,2649.8,2643.3,2643.31,2567.0498,2024-10-19 21:59:59.999,6796569.216447,35493,1354.8729,3587121.370746,0.0,2644.74,2644.8748148148147,-0.13481481481494484,-0.02696296296298897,-0.10785185185195587
2024-10-19 22:00:00,2643.31,2653.56,2641.2,2650.8,3813.5347,2024-10-19 22:59:59.999,10095844.381478,62077,1913.0733,5065063.998916,0.0,2645.6723076923076,2645.3137174211247,0.3585902711829476,0.050147683866198355,0.3084425873167493
2024-10-19 23:00:00,2650.81,2655.5,2647.33,2648.2,4431.5926,2024-10-19 23:59:59.999,11748151.777416,45888,1972.7459,5230188.748446,0.0,2646.0611834319525,2645.527516130671,0.5336673012816391,0.1468516073492865,0.3868156939323526
2024-10-20 00:00:00,2648.2,2653.56,2641.9,2642.49,4760.3974,2024-10-20 00:59:59.999,12603883.291581,70594,1717.5458,4548168.912593,0.0,2645.5117705962675,2645.3025149358064,0.20925566046116728,0.15933241797166267,0.04992324248950461
2024-10-20 01:00:00,2642.49,2643.6,2638.22,2640.33,3733.4204,2024-10-20 01:59:59.999,9859586.261858,63680,1323.3658,3494882.415089,0.0,2644.7145751199187,2644.934180496117,-0.21960537619816023,0.0835448591376981,-0.30315023533585833
2024-10-20 02:00:00,2640.34,2645.81,2636.53,2639.19,3963.4414,2024-10-20 02:59:59.999,10468561.379654,45518,1612.0174,4257484.491607,0.0,2643.864640486085,2644.5086856445528,-0.6440451584676339,-0.061973144383368296,-0.5820720140842656
2024-10-20 03:00:00,2639.19,2641.95,2635.54,2640.25,4402.8115,2024-10-20 03:59:59.999,11619190.069665,35064,1354.2701,3573524.080056,0.0,2643.3085419497643,2644.19322744866,-0.8846854988955783,-0.22651561528581032,-0.658169883609768
2024-10-20 04:00:00,2640.26,2646.78,2638.49,2641.79,3225.3912,2024-10-20 04:59:59.999,8522824.667239,37519,1356.0642,3583217.18581,0.0,2643.074920111339,2644.0152106006108,-0.9402904892717743,-0.3692705900830031,-0.5710198991887712
2024-10-20 05:00:00,2641.79,2646.32,2639.8,2640.29,3522.4308,2024-10-20 05:59:59.999,9309486.434342,29287,1737.5322,4592341.49686,0.0,2642.6464708634408,2643.7392690746397,-1.0927982111988968,-0.5139761143061818,-0.5788220968927149
2024-10-20 06:00:00,2640.3,2652.03,2638.45,2650.79,5164.1622,2024-10-20 06:59:59.999,13657463.250147,47997,2644.82,6996090.283875,0.0,2643.8993214998345,2644.2615454394813,-0.3622239396468103,-0.48362567937430756,0.12140173972749724
2024-10-20 07:00:00,2650.78,2650.8,2645.0,2646.1,4453.2396,2024-10-20 07:59:59.999,11793131.592992,41526,2360.3364,6250574.603253,0.0,2644.237887422937,2644.397727258779,-0.15983983584192174,-0.41886851066783043,0.2590286748259087
2024-10-20 08:00:00,2646.1,2651.49,2643.13,2646.42,4237.3679,2024-10-20 08:59:59.999,11222264.073882,36187,2414.5215,6395189.012469,0.0,2644.573597050178,2644.5475252396104,0.026071810567373177,-0.32988044642078973,0.3559522569881629
2024-10-20 09:00:00,2646.43,2649.96,2643.56,2648.63,2791.5015,2024-10-20 09:59:59.999,7389333.158295,31370,1433.5864,3794847.625434,0.0,2645.1976590424583,2644.8499307774173,0.3477282650410416,-0.1943587041284235,0.5420869691694651
2024-10-20 10:00:00,2648.63,2651.02,2645.99,2646.06,2748.5504,2024-10-20 10:59:59.999,7281513.575669,22734,1379.2288,3654185.746692,0.0,2645.33032688208,2644.9395655346457,0.3907613474343634,-0.0773346938158661,0.4680960412502295
2024-10-20 11:00:00,2646.07,2650.77,2646.07,2649.49,2918.7776,2024-10-20 11:59:59.999,7731015.462359,34312,1445.5313,3829150.623797,0.0,2645.9702765925294,2645.2766347543015,0.6936418382279044,0.076860612592888,0.6167812256350164
2024-10-20 12:00:00,2649.5,2655.28,2644.0,2644.65,7060.5459,2024-10-20 12:59:59.999,18720444.333701,70068,3590.6378,9521414.872105,0.0,2645.7671571167557,2645.230217365094,0.5369397516615209,0.1688764404066146,0.36806331125490627
2024-10-20 13:00:00,2644.65,2662.0,2642.0,2660.99,10017.0278,2024-10-20 13:59:59.999,26565521.67667,77107,5335.8492,14153274.147702,0.0,2648.109132944947,2646.3976086713833,1.7115242735635547,0.4774060070380027,1.2341182665255521
2024-10-20 14:00:00,2661.0,2721.0,2660.99,2711.01,63252.3535,2024-10-20 14:59:59.999,170776014.602645,359762,36353.0823,98122514.785881,0.0,2657.786189414955,2651.1837117327623,6.602477682192784,1.702420342068959,4.900057340123825
2024-10-20 15:00:00,2711.0,2714.0,2685.26,2706.58,20255.0204,2024-10-20 15:59:59.999,54640513.033556,174876,9310.628,25116828.621842,0.0,2665.292929504962,2655.2871404932985,10.005789011663637,3.363094075987895,6.642694935675742
2024-10-20 16:00:00,2706.58,2709.77,2692.0,2692.37,11502.9439,2024-10-20 16:59:59.999,31050048.664548,103257,4966.1605,13405910.541766,0.0,2669.4586326580447,2658.0340189752765,11.424613682768268,4.975397997343969,6.449215685424298
2024-10-20 17:00:00,2692.38,2698.24,2686.25,2694.83,9311.2889,2024-10-20 17:59:59.999,25065325.708289,89788,5189.0724,13967029.582972,0.0,2673.3619199414225,2660.75964719933,12.602272742092282,6.500772946293632,6.10149979579865
2024-10-20 18:00:00,2694.84,2706.31,2694.84,2702.13,6208.1827,2024-10-20 18:59:59.999,16769811.801405,81144,3122.5083,8434698.946874,0.0,2677.787778411973,2663.8241177771574,13.96366063481537,7.99335048399798,5.970310150817389
2024-10-20 19:00:00,2702.14,2702.87,2692.48,2699.86,4692.3395,2024-10-20 19:59:59.999,12659930.534072,54619,2176.4104,5872257.866371,0.0,2681.1835048101307,2666.493442386257,14.69006242387377,9.332692871973139,5.35736955190063
2024-10-20 20:00:00,2699.87,2717.98,2697.03,2711.53,6978.9742,2024-10-20 20:59:59.999,18910117.696366,72480,4172.1536,11304600.19582,0.0,2685.852196377803,2669.8294836909786,16.022712686824434,10.670696834943397,5.352015851881037
2024-10-20 21:00:00,2711.54,2719.13,2704.88,2715.46,19246.136,2024-10-20 21:59:59.999,52186191.594343,108958,9055.5139,24550678.159561,0.0,2690.40724308891,2673.2095219360913,17.197721152818758,11.97610169851847,5.2216194543002885
2024-10-20 22:00:00,2715.46,2759.0,2714.5,2747.42,40221.0381,2024-10-20 22:59:59.999,110101578.320407,428508,20690.9285,56644084.534862,0.0,2699.178436459847,2678.70659438527,20.471842074577125,13.6752497737302,6.796592300846925
2024-10-20 23:00:00,2747.41,2754.48,2741.07,2746.91,12243.402,2024-10-20 23:59:59.999,33646943.257944,158490,6573.8673,18066932.553475,0.0,2706.5217539275627,2683.7586985048797,22.76305542268301,15.492810903520764,7.270244519162246
2024-10-21 00:00:00,2746.91,2769.48,2742.05,2746.25,20302.2987,2024-10-21 00:59:59.999,55943223.165691,212379,10836.816,29864545.683909,0.0,2712.633791784861,2688.3876838008146,24.246107984046375,17.24347031962589,7.002637664420487
2024-10-21 01:00:00,2746.24,2761.13,2742.44,2745.54,16255.8996,2024-10-21 01:59:59.999,44691377.39211,159599,8774.3129,24124022.982326,0.0,2717.696285356421,2692.621188704458,25.075096651963122,18.809795586093337,6.265301065869785
2024-10-21 02:00:00,2745.55,2748.54,2728.44,2731.19,19853.1878,2024-10-21 02:59:59.999,54397750.314994,128737,11338.2868,31071057.176595,0.0,2719.7722414554332,2695.478137689313,24.294103766120315,19.906657222098733,4.387446544021582
2024-10-21 03:00:00,2731.19,2738.15,2725.3,2733.81,8867.8532,2024-10-21 03:59:59.999,24237828.814353,94260,3820.5157,10442688.926927,0.0,2721.931896616136,2698.317534897512,23.614361718623968,20.64819812140378,2.966163597220188
2024-10-21 04:00:00,2733.81,2739.55,2727.79,2738.5,9778.1295,2024-10-21 04:59:59.999,26715696.372529,56062,5123.3598,13997098.552936,0.0,2724.4808355982686,2701.2940137939927,23.18682180427595,21.155922857978215,2.030898946297736
2024-10-21 05:00:00,2738.51,2744.24,2733.3,2735.11,7932.7453,2024-10-21 05:59:59.999,21719893.453087,67731,3351.113,9176694.799988,0.0,2726.1160916600734,2703.7989016611045,22.317189998968843,21.388176286176343,0.9290137127925
2024-10-21 06:00:00,2735.1,2742.76,2724.4,2727.57,8782.9427,2024-10-21 06:59:59.999,24028903.616709,90658,3572.584,9774552.741316,0.0,2726.339769866216,2705.559723760282,20.78004610593416,21.266550250127906,-0.486504144193745
2024-10-21 07:00:00,2727.57,2734.0,2721.62,2722.01,9992.3881,2024-10-21 07:59:59.999,27261223.318464,104310,5181.7769,14136269.636697,0.0,2725.67365142526,2706.778262741002,18.895388684257796,20.792317936953886,-1.89692925269609
2024-10-21 08:00:00,2722.01,2729.2,2714.39,2715.4,14062.4534,2024-10-21 08:59:59.999,38285746.236399,94072,6567.5088,17880706.788711,0.0,2724.0930896675277,2707.416909945372,16.676179722155666,19.969090293994242,-3.2929105718385756
2024-10-21 09:00:00,2715.4,2720.66,2701.41,2712.96,16986.2903,2024-10-21 09:59:59.999,46044431.795935,110084,8602.6159,23324555.990741,0.0,2722.380306641754,2707.827509208678,14.552797433076194,18.885831721810632,-4.333034288734439
2024-10-21 10:00:00,2712.97,2717.11,2705.0,2705.62,8969.8469,2024-10-21 10:59:59.999,24319135.775269,74187,3972.5141,10770934.651333,0.0,2719.801797927638,2707.663990008035,12.137807919602892,17.536226961369085,-5.398419041766193
2024-10-21 11:00:00,2705.62,2713.4,2702.0,2704.77,6360.8707,2024-10-21 11:59:59.999,17224585.180362,70811,3348.8896,9069885.429897,0.0,2717.489213631078,2707.4496203778103,10.039593253267867,16.03690021974884,-5.9973069664809735
2024-10-21 12:00:00,2704.77,2711.36,2688.21,2697.86,12790.5093,2024-10-21 12:59:59.999,34506888.428952,111220,6343.8184,17115221.54758,0.0,2714.4693346109125,2706.739278127602,7.7300564833103635,14.375531472461146,-6.645474989150783
2024-10-21 13:00:00,2697.85,2700.3,2662.81,2672.05,38149.7062,2024-10-21 13:59:59.999,102151160.140514,247950,18783.6298,50282427.801889,0.0,2707.9432831323106,2704.169701970002,3.773581162308801,12.255141410430678,-8.481560248121877
2024-10-21 14:00:00,2672.05,2685.46,2659.12,2672.22,24965.8128,2024-10-21 14:59:59.999,66702468.083273,208531,12313.9712,32913709.000145,0.0,2702.4473934196476,2701.8030573796314,0.6443360400162419,9.932980336347791,-9.28864429633155
2024-10-21 15:00:00,2672.22,2679.99,2659.54,2679.43,15008.2295,2024-10-21 15:59:59.999,40032569.279537,135032,8171.9951,21801322.076091,0.0,2698.906255970471,2700.145793870029,-1.239537899557945,7.698476689166644,-8.938014588724588
2024-10-21 16:00:00,2679.43,2679.5,2655.01,2671.57,13364.8166,2024-10-21 16:59:59.999,35646945.956022,118635,5987.6636,15971658.672046,0.0,2694.70067812886,2698.0290683981752,-3.3283902693151504,5.493103297470285,-8.821493566785435
2024-10-21 17:00:00,2671.56,2683.72,2671.01,2672.71,12713.7473,2024-10-21 17:59:59.999,34046897.150959,82094,5609.7681,15021554.375933,0.0,2691.3174968782664,2696.1535818501625,-4.836084971896071,3.4272656435970146,-8.263350615493085
2024-10-21 18:00:00,2672.72,2673.75,2658.4,2666.53,10545.4111,2024-10-21 18:59:59.999,28110705.419457,90455,5217.3888,13908637.404821,0.0,2687.5040358200717,2693.959242453854,-6.455206633782382,1.4507711881211354,-7.905977821903517
2024-10-21 19:00:00,2666.54,2684.79,2666.53,2680.1,9807.9634,2024-10-21 19:59:59.999,26255825.899652,78156,5851.4399,15663038.139972,0.0,2686.3649533862144,2692.932631901717,-6.567678515502394,-0.1529187526035705,-6.414759762898823
2024-10-21 20:00:00,2680.1,2681.68,2672.5,2676.06,6605.4218,2024-10-21 20:59:59.999,17682653.652736,51505,3545.2931,9490784.673798,0.0,2684.7795759421815,2691.6828073164043,-6.903231374222742,-1.502981276927405,-5.400250097295337
2024-10-21 21:00:00,2676.07,2681.86,2672.56,2675.67,3523.2141,2024-10-21 21:59:59.999,9432788.850436,28650,1885.9755,5049228.435099,0.0,2683.3781027203077,2690.496673441115,-7.118570720807384,-2.6260991657034007,-4.492471555103982
2024-10-21 22:00:00,2675.67,2685.02,2673.0,2677.31,8466.0988,2024-10-21 22:59:59.999,22685718.011517,52699,4810.0092,12891452.742122,0.0,2682.444548455645,2689.5198828158473,-7.075334360202305,-3.515946204603182,-3.559388155599123
2024-10-21 23:00:00,2677.31,2677.31,2665.69,2666.7,6588.8861,2024-10-21 23:59:59.999,17594454.658664,58530,2755.1992,7357449.365135,0.0,2680.0223102316995,2687.8295211257846,-7.807210894085074,-4.3741991424995605,-3.4330117515855134
2024-10-22 00:00:00,2666.71,2671.92,2613.49,2638.1,43986.225,2024-10-22 00:59:59.999,115964415.262675,213321,19750.663,52059640.82908,0.0,2673.5727240422075,2684.145852894245,-10.573128852037371,-5.6139850844071235,-4.9591437676302474
